"","igae","ipc","ifb","cetes","epu","mon","fis","com","reg"
"123"," 80.1969"," 5914.03"," 72.21"," 9.17","12.8162840","3.84071631","4.50647489","2.60538883","1.86370402"
"124"," 80.2542"," 6509.88"," 69.29"," 7.86"," 8.8172706","1.62842230","4.04163206","1.63303875","1.51417748"
"125"," 80.0200"," 6699.18"," 68.76"," 5.25"," 6.3883961","1.68801247","2.55543786","0.86361225","1.28133352"
"126"," 80.5472"," 7054.99"," 68.32"," 5.20"," 2.6792645","0.52470582","1.46139993","0.19873245","0.49442634"
"127"," 80.6630"," 7355.07"," 70.69"," 4.57"," 4.1098218","1.05195157","2.07146720","0.57020400","0.41619904"
"128"," 79.9932"," 7591.42"," 72.18"," 4.45"," 4.3042157","1.10742009","2.40839124","0.25225846","0.53614589"
"129"," 80.2564"," 7822.48"," 71.03"," 4.73"," 4.1160619","1.28001010","1.64559161","0.51537986","0.67508038"
"130"," 80.5109"," 8064.83"," 71.13"," 5.11"," 2.6433348","0.98086551","0.70779370","0.34269487","0.61198069"
"131"," 80.9104"," 8554.48"," 68.50"," 4.99"," 3.3989345","0.80974255","0.65908915","0.34611425","1.58398850"
"132"," 81.7241"," 8795.28"," 72.89"," 6.06"," 6.6149696","1.80545147","2.72977131","0.52909111","1.55065568"
"133"," 82.1835"," 9428.77"," 74.67"," 4.95"," 4.2087786","1.30278889","2.29082739","0.23218898","0.38297331"
"134"," 82.4157"," 9991.80"," 71.03"," 5.57"," 2.3912693","0.92495456","1.07940557","0.15580397","0.23110518"
"135"," 83.5251","10517.50"," 78.11"," 6.28"," 3.0785665","1.23493845","1.28659562","0.25819094","0.29884146"
"136"," 83.2504"," 9948.13"," 73.86"," 5.98"," 1.5843756","0.57097111","0.51399592","0.23596975","0.26343876"
"137"," 83.8090","10036.29"," 72.94"," 6.59"," 4.0435653","1.28125253","1.40367368","0.84419941","0.51443970"
"138"," 83.6054","10281.82"," 74.90"," 6.57"," 3.1286801","0.82232855","1.12813677","0.63402143","0.54419336"
"139"," 83.2130","10116.39"," 74.54"," 6.81"," 2.7606477","0.89159006","0.98481379","0.45526667","0.42897723"
"140"," 83.4391","10264.32"," 75.27"," 7.21"," 2.3931969","0.89861150","0.90839038","0.19857837","0.38761669"
"141"," 83.6558","10957.37"," 76.62"," 7.36"," 1.7507528","0.56662154","0.78942086","0.28401172","0.11069871"
"142"," 83.9191","11564.35"," 76.07"," 7.76"," 3.2733750","0.84175062","1.00329775","0.24442505","1.18390158"
"143"," 84.7348","12102.55"," 78.39"," 8.20"," 2.8553649","0.84947814","1.21677686","0.16813143","0.62097847"
"144"," 84.4192","12917.88"," 79.77"," 8.50"," 2.8772178","0.85806484","1.16605285","0.35079425","0.50230591"
"145"," 84.5327","13097.12"," 78.19"," 8.60"," 2.5007633","0.66300642","0.72810529","0.16970855","0.93994305"
"146"," 84.7039","13789.46"," 74.89"," 9.15"," 1.8175191","0.35606115","0.68085276","0.21683495","0.56377023"
"147"," 84.5558","12676.90"," 79.36"," 9.41"," 1.9224050","0.52632523","0.82608912","0.20298220","0.36700841"
"148"," 84.9623","12322.99"," 80.13"," 9.63"," 4.2755578","0.99185633","1.36441871","0.56097587","1.35830688"
"149"," 85.8984","12964.39"," 77.33"," 9.75"," 3.6238608","1.06170164","1.49596024","0.50312019","0.56307877"
"150"," 84.4931","13486.13"," 78.72"," 9.63"," 1.7107368","0.70430483","0.64699562","0.14012494","0.21931142"
"151"," 84.8196","14409.66"," 76.53"," 9.61"," 1.9689809","0.98017711","0.45738747","0.15563070","0.37578559"
"152"," 86.0114","14243.19"," 81.81"," 9.60"," 1.5214887","0.73249198","0.36006546","0.30877874","0.12015249"
"153"," 86.1309","16120.08"," 81.55"," 9.21"," 2.9356145","0.88580568","1.26931637","0.08534851","0.69514393"
"154"," 86.2770","15759.73"," 80.70"," 8.91"," 2.3058044","0.45027622","0.68345781","0.17086445","1.00120589"
"155"," 87.1458","16830.96"," 85.19"," 8.71"," 2.8959314","0.92233022","0.69955012","0.63330301","0.64074803"
"156"," 87.6076","17802.71"," 88.04"," 8.22"," 2.7063307","0.74278994","1.07236747","0.06877579","0.82239755"
"157"," 88.9832","18907.10"," 84.23"," 7.88"," 2.2957149","0.43607736","0.72892725","0.17551078","0.95519952"
"158"," 88.2766","18706.32"," 79.93"," 7.61"," 1.6535689","0.54556645","0.60097162","0.22682405","0.28020675"
"159"," 88.2397","19272.63"," 89.73"," 7.37"," 1.5061549","0.46770036","0.39216153","0.13081759","0.51547544"
"160"," 88.8457","20646.19"," 83.99"," 7.17"," 2.4369172","0.69261199","0.91936459","0.18261054","0.64233011"
"161"," 90.2901","18677.92"," 86.43"," 7.02"," 2.9333666","1.08827222","0.71843918","0.73227573","0.39437948"
"162"," 89.2846","19147.17"," 86.32"," 7.02"," 4.5206366","1.90592134","1.03935987","0.91693322","0.65842215"
"163"," 89.4992","20095.93"," 85.13"," 7.03"," 4.7628945","1.93198989","0.99362582","0.85891035","0.97836840"
"164"," 89.7635","21049.35"," 90.53"," 7.03"," 3.3592199","0.99429544","0.80577098","0.90846940","0.65068405"
"165"," 89.7391","21937.11"," 90.12"," 7.06"," 2.9056847","1.05842162","0.36499710","0.63213012","0.85013591"
"166"," 90.1159","23046.95"," 90.68"," 7.05"," 1.1204022","0.40203799","0.40510056","0.14821174","0.16505195"
"167"," 89.6358","24962.01"," 91.68"," 7.04"," 1.5360139","0.73003514","0.13264251","0.20352102","0.46981522"
"168"," 90.1086","26448.32"," 93.30"," 7.04"," 2.2410161","0.86469063","0.75178133","0.10106808","0.52347609"
"169"," 90.0581","27561.49"," 86.87"," 7.04"," 2.2764902","1.11651527","0.47039158","0.34001265","0.34957069"
"170"," 90.2695","26638.95"," 84.93"," 7.04"," 1.2100600","0.49019321","0.06174745","0.42129667","0.23682265"
"171"," 90.5094","28747.69"," 92.25"," 7.04"," 2.0006163","1.24586877","0.33886496","0.30011667","0.11576591"
"172"," 91.0203","28996.71"," 88.18"," 7.01"," 1.5387433","0.52095227","0.35533935","0.38958593","0.27286576"
"173"," 91.5202","31398.96"," 90.13"," 7.24"," 1.7466191","0.69256341","0.55112422","0.29565792","0.20727353"
"174"," 91.7490","31151.05"," 88.80"," 7.20"," 2.8752627","1.44442828","0.99237556","0.40330948","0.03514938"
"175"," 91.8075","30659.66"," 90.63"," 7.19"," 3.1500844","1.24596410","1.23732338","0.05265929","0.61413758"
"176"," 91.8054","30347.86"," 94.86"," 7.20"," 3.5337186","1.37981917","1.38110577","0.33577326","0.43702043"
"177"," 92.2697","30296.19"," 94.89"," 7.21"," 3.8841552","1.25427698","1.87424425","0.27990628","0.47572774"
"178"," 92.5979","31458.67","101.07"," 7.20"," 3.7079721","1.52851768","1.42957855","0.38172462","0.36815121"
